Package,LibPath,Version,Priority,Built
pkgload,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.2,NA,3.5.2
pkgsearch,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.0.1,NA,3.5.2
PKI,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1-5.1,NA,3.5.0
plogr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.0,NA,3.5.2
plotly,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,4.8.0,NA,3.5.2
plyr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.8.4,NA,3.5.2
polspline,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1.13,NA,3.5.0
prettyunits,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.2,NA,3.5.2
pROC,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.13.0,NA,3.5.1
processx,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,3.2.1,NA,3.5.2
profmem,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.5.0,NA,3.5.2
profvis,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3.5,NA,3.5.2
progress,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2.0,NA,3.5.2
promises,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.1,NA,3.5.2
ps,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.3.0,NA,3.5.2
purrr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.5.9000,NA,3.5.1
pxweb,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.8.3,NA,3.5.1
quantreg,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,5.38,NA,3.5.2
r2d3,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.2,NA,3.5.1
R6,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.3.0,NA,3.5.1
RApiDatetime,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.0.3,NA,3.5.0
rappdirs,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3.1,NA,3.5.1
rcmdcheck,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.3.2,NA,3.5.2
RColorBrewer,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1-2,NA,3.5.2
Rcpp,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.0,NA,3.5.1
RcppArmadillo,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.9.200.5.0,NA,3.5.2
RcppEigen,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3.3.5.0,NA,3.5.2
RCurl,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.95-4.11,NA,3.5.1
RDCOMClient,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.93-0,NA,3.5.0
readr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.3.1,NA,3.5.2
readxl,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2.0,NA,3.5.2
recipes,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1.4,NA,3.5.1
refals,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.0.9000,NA,3.5.1
registry,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.5,NA,3.5.2
rematch,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.1,NA,3.5.2
remotes,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.0.2,NA,3.5.2
reprex,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.1.9000,NA,3.5.2
reshape2,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.4.3,NA,3.5.2
reticulate,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.10,NA,3.5.2
rex,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1.2,NA,3.5.2
RgoogleMaps,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.4.2,NA,3.5.1
rio,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.5.16,NA,3.5.2
rJava,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.9-10,NA,3.5.0
rjson,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.20,NA,3.5.0
RJSONIO,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.3-0,NA,3.5.0
rlang,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3.0.1,NA,3.5.2
rmarkdown,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.11,NA,3.5.2
rms,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,5.1-2,NA,3.5.1
ROI,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3-1,NA,3.5.2
roxygen2,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,6.1.1,NA,3.5.2
roxygen2md,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.0.4.9000,NA,3.5.2
rprojroot,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.3-2,NA,3.5.2
rsample,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.0.3,NA,3.5.2
rsconnect,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.8.8,NA,3.5.1
RSelenium,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.7.4,NA,3.5.1
rspiro,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1,NA,3.5.1
rstan,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.18.2,NA,3.5.2
rstanarm,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.18.2,NA,3.5.2
rstantools,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.5.0,NA,3.5.1
rstudioapi,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.8,NA,3.5.1
rsvg,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.3,NA,3.5.2
Rttf2pt1,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.3.7,NA,3.5.2
rtweet,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.6.8,NA,3.5.1
RUnit,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.4.32,NA,3.5.1
rvest,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3.2,NA,3.5.2
scales,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.0,NA,3.5.1
scam,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2-3,NA,3.5.1
selectr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.4-1,NA,3.5.2
semver,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.0,NA,3.5.1
servr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.11,NA,3.5.2
sessioninfo,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1.1,NA,3.5.2
sf,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.7-2,NA,3.5.2
shiny,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2.0,NA,3.5.1
shinyjs,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0,NA,3.5.1
shinystan,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.5.0,NA,3.5.1
shinythemes,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1.1,NA,3.5.1
skimr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.3,NA,3.5.2
